Ewe/V	<I>/mA	time/s	cycle number	(Q-Qo)/C	I Range	Rcmp/Ohm	
-7.0125364E-002	-6.458008506276683E-004	1.802889954455168E+001	1.000000000000000E+000	-2.4472234E-005	14	0.0000000E+000
-6.9654055E-002	-6.427080436391210E-004	1.807889954328857E+001	1.000000000000000E+000	-2.4504367E-005	14	0.0000000E+000
-6.9148615E-002	-6.398587668863085E-004	1.812879954202799E+001	1.000000000000000E+000	-2.4536279E-005	14	0.0000000E+000
-6.8656251E-002	-6.370449089638476E-004	1.817869954076741E+001	1.000000000000000E+000	-2.4568077E-005	14	0.0000000E+000
-6.8118066E-002	-6.348638080145826E-004	1.822869953950431E+001	1.000000000000000E+000	-2.4599791E-005	14	0.0000000E+000
-6.7650557E-002	-6.316282798359378E-004	1.827859953824373E+001	1.000000000000000E+000	-2.4631319E-005	14	0.0000000E+000
-6.7180768E-002	-6.290877327617644E-004	1.832849953698314E+001	1.000000000000000E+000	-2.4662691E-005	14	0.0000000E+000
-6.6601194E-002	-6.261484898059640E-004	1.837849953572004E+001	1.000000000000000E+000	-2.4694004E-005	14	0.0000000E+000
-6.6153236E-002	-6.239793862429597E-004	1.842849953445693E+001	1.000000000000000E+000	-2.4725174E-005	14	0.0000000E+000
-6.5663815E-002	-6.208846616658683E-004	1.847839953319635E+001	1.000000000000000E+000	-2.4756160E-005	14	0.0000000E+000
-6.5144807E-002	-6.186421381591236E-004	1.852829953193577E+001	1.000000000000000E+000	-2.4786996E-005	14	0.0000000E+000
-6.4640604E-002	-6.153883775768558E-004	1.857829953067267E+001	1.000000000000000E+000	-2.4817777E-005	14	0.0000000E+000
-6.4205468E-002	-6.133560597099330E-004	1.862819952941209E+001	1.000000000000000E+000	-2.4848352E-005	14	0.0000000E+000
-6.3676760E-002	-6.105272496442684E-004	1.867809952815151E+001	1.000000000000000E+000	-2.4878813E-005	14	0.0000000E+000
-6.3127972E-002	-6.080403498801758E-004	1.872809952688840E+001	1.000000000000000E+000	-2.4909186E-005	14	0.0000000E+000
-6.2708676E-002	-6.052070081447409E-004	1.877809952562529E+001	1.000000000000000E+000	-2.4939443E-005	14	0.0000000E+000
-6.2208395E-002	-6.032690119520470E-004	1.882799952436471E+001	1.000000000000000E+000	-2.4969509E-005	14	0.0000000E+000
-6.1623819E-002	-6.001202678369011E-004	1.887789952310413E+001	1.000000000000000E+000	-2.4999455E-005	14	0.0000000E+000
-6.1180115E-002	-5.978584014733994E-004	1.892789952184103E+001	1.000000000000000E+000	-2.5029332E-005	14	0.0000000E+000
-6.0629215E-002	-5.952932433636190E-004	1.897779952058045E+001	1.000000000000000E+000	-2.5059033E-005	14	0.0000000E+000
-6.0218401E-002	-5.927464850428977E-004	1.902769951931987E+001	1.000000000000000E+000	-2.5088588E-005	14	0.0000000E+000
-5.9621837E-002	-5.900187591749637E-004	1.907769951805676E+001	1.000000000000000E+000	-2.5118092E-005	14	0.0000000E+000
-5.9200425E-002	-5.877993127164118E-004	1.912769951679365E+001	1.000000000000000E+000	-2.5147459E-005	14	0.0000000E+000
-5.8620848E-002	-5.851630835588617E-004	1.917749951553560E+001	1.000000000000000E+000	-2.5176589E-005	14	0.0000000E+000
-5.8139984E-002	-5.830431047428811E-004	1.922749951427249E+001	1.000000000000000E+000	-2.5205711E-005	14	0.0000000E+000
-5.7625163E-002	-5.805828824531338E-004	1.927749951300939E+001	1.000000000000000E+000	-2.5234718E-005	14	0.0000000E+000
-5.7137936E-002	-5.780815934031455E-004	1.932739951174881E+001	1.000000000000000E+000	-2.5263544E-005	14	0.0000000E+000
-5.6624170E-002	-5.754579872432563E-004	1.937729951048823E+001	1.000000000000000E+000	-2.5292247E-005	14	0.0000000E+000
-5.6114651E-002	-5.738460419535464E-004	1.942729950922512E+001	1.000000000000000E+000	-2.5320882E-005	14	0.0000000E+000
-5.5653639E-002	-5.706057582674003E-004	1.947719950796454E+001	1.000000000000000E+000	-2.5349358E-005	14	0.0000000E+000
-5.5200700E-002	-5.687986078362350E-004	1.952709950670396E+001	1.000000000000000E+000	-2.5377696E-005	14	0.0000000E+000
-5.4657210E-002	-5.661004636569426E-004	1.957709950544086E+001	1.000000000000000E+000	-2.5405991E-005	14	0.0000000E+000
-5.4165740E-002	-5.640239196772990E-004	1.962709950417775E+001	1.000000000000000E+000	-2.5434161E-005	14	0.0000000E+000
-5.3644471E-002	-5.612433125839686E-004	1.967699950291717E+001	1.000000000000000E+000	-2.5462157E-005	14	0.0000000E+000
-5.3165812E-002	-5.592937680679207E-004	1.972689950165659E+001	1.000000000000000E+000	-2.5490022E-005	14	0.0000000E+000
-5.2617013E-002	-5.566580811569434E-004	1.977689950039348E+001	1.000000000000000E+000	-2.5517844E-005	14	0.0000000E+000
-5.2143544E-002	-5.547453382353535E-004	1.982679949913290E+001	1.000000000000000E+000	-2.5545487E-005	14	0.0000000E+000
-5.1630881E-002	-5.522705712809814E-004	1.987669949787232E+001	1.000000000000000E+000	-2.5573025E-005	14	0.0000000E+000
